alert_id,cause,effect,header_text,description_text,severity,start,end_time
635231,CONSTRUCTION,OTHER_EFFECT,South Station Pedal & Park is closed due to construction. Bicycle racks are currently available on Atlantic Ave adjacent to the South Station main entrance.,,WARNING,2025-04-01 16:11:00,
635238,CONSTRUCTION,OTHER_EFFECT,Alewife Garage: The vehicle exit has temporarily relocated to the third level to accommodate ongoing construction. This change is causing traffic backups and longer delays when exiting the garage. Please plan extra time for your departure.,,WARNING,2025-04-07 07:00:00,
635973,CONSTRUCTION,OTHER_EFFECT,"Construction is ongoing in the Hingham Parking lot and on Shipyard Drive in preparation for the Hingham Ferry Dock upgrades. There is reduced parking in the lot, and portions of Shipyard Drive are affected.",There may also be pedestrian detours in the parking lot due to the construction.,WARNING,2025-04-18 07:00:00,
636886,CONSTRUCTION,DETOUR,Route 99 detoured due to construction. Connect inbound at Highland Ave @ Pine St & Clifton St @ Dexter St. Outbound at Clifton St @ Highland Ave & 617 Highland Ave.,"Affected stops:
Savin St @ Fellsway E (inbound)
Savin St @ Fellsmere Rd (inbound)
Hospital Rd @ Savin St (inbound)
Savin St @ Fellsway E (outbound)
Savin St @ Fellsmere Rd (outbound)
Hospital Rd @ Savin St (outbound)",SEVERE,2025-04-09 16:06:00,
639578,MAINTENANCE,ACCESSIBILITY_ISSUE,Malden Center Escalator 312 (Street level to Commuter Rail platform) unavailable due to maintenance.,,WARNING,2025-04-23 15:12:00,
640942,UNKNOWN_CAUSE,NO_SERVICE,The Bus Stop at Saint James Ave @ Dartmouth St is closed until further notice due to construction. Riders should use a nearby temporary bus stop at Saint James Ave @ Clarendon St. ,"Affected routes:
9
10
39
55
501
504",WARNING,2025-05-05 07:00:00,
641327,CONSTRUCTION,STOP_MOVED,The Route 442 stop at Humphrey St @ Eastern Ave (inbound) will be temporarily moved due to construction until mid-September. Riders can board at the corner of Humphrey St and Kings Beach Terrace.,"Affected routes:
442",INFO,2025-05-02 22:28:00,2025-09-15 07:00:00
643427,CONSTRUCTION,NO_SERVICE,"The following stop is closed Monday through Thursday, from 7AM to 5PM, due to construction until further notice: Hawthorne St @ Broadway (outbound). See additional info for alternative stops.","Riders can board at the following stops:

City Hall Ave @ Broadway (for the northbound 111)
Broadway @ City Hall Ave (for the northbound 116)
Washington Ave @ Broadway (for the westbound 104, 112, and 114)

Affected routes:
104
111
112
114
116",WARNING,2025-07-21 11:00:00,2025-07-21 21:00:00
645566,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Downtown Crossing Escalator 113 (Alewife platform to Hawley Street) unavailable,,WARNING,2025-05-22 16:11:00,
653660,MAINTENANCE,ACCESSIBILITY_ISSUE,Harvard Escalator 513 (Harvard Square to mezzanine) unavailable due to maintenance,,WARNING,2025-07-03 16:54:00,
645770,UNKNOWN_CAUSE,MODIFIED_SERVICE,"Starting Monday, June 2nd, the Fairmount Line will have a temporary schedule to allow for rail replacement work. The schedule reduces mid-day service on weekdays and service on weekends. Schedule is now available on MBTA.com/CR.","Service on the Fairmount Line will be reduced between 9:00 a.m. and 3:00 p.m. on weekdays and weekends to allow this important work to take place. The rail replacement work will prepare the line for the introduction of battery-electric trains in the coming years. Passengers can consider nearby MBTA buses for alternative service.  

The following trains are temporarily suspended to accommodate rail replacement work: 

Weekday Trains suspended: 1619, 1621, 1626, 1627, 1630, 1632, 1633, 1637, 1638, 1641, 1644, 1647, 1648, 1649, 1650, 1653, 1655, 1656, 1659, 1660, 1662, 1666, 1668 

Weekend Trains suspended: 6614, 6619, 6624, 6630, 6632, 6633, 6643, 6644, 6637, 6649, 6650, 6655, 6656, 6659, 6662, 6666, 6667, 6668, 6671, 6677, 6678 

On Friday, July 4th (Independence Day) and Monday, September 1st (Labor Day), all lines will operate on a weekend schedule.  

On Thursday, June 19th (Juneteenth), and Monday, October 13th (Columbus Day), all lines will operate on a regular weekday",INFO,2025-06-02 07:00:00,
645772,UNKNOWN_CAUSE,MODIFIED_SERVICE,"Starting Monday, June 2nd, the Franklin Line will have an adjusted weekend schedule with certain trains bypassing Fairmount through Newmarket & making stops at Back Bay & Ruggles due to the Fairmount Line temporary construction schedule.","The temporary schedule is available online on MBTA.com.

Service on the Fairmount Line will be reduced between 9:00 a.m. and 3:00 p.m. on weekdays and weekends to allow this important work to take place. Passengers can consider nearby MBTA buses for alternative service.  

The following trains are temporarily suspended to accommodate rail replacement work: 

Weekend Trains suspended: 6614, 6619, 6624, 6630, 6632, 6633, 6643, 6644, 6647, 6649, 6650, 6655, 6656, 6659, 6662, 6666, 6667, 6668, 6671, 6677, 6678 

On Friday, July 4th (Independence Day) and Monday, September 1st (Labor Day), all lines will operate on a weekend schedule.  

On Thursday, June 19th (Juneteenth), and Monday, October 13th (Columbus Day), all lines will operate on a regular weekday schedule. ",INFO,2025-06-02 07:00:00,
649748,UNKNOWN_CAUSE,DETOUR,"Route 435 detoured Monday through Friday,  from 7 AM - 3 PM, until further notice due to construction. Connections are 86 Central St & Washington St @ Main St","Affected stops:
Central St opp Walnut St (inbound)",SEVERE,2025-07-21 11:00:00,2025-07-21 19:00:00
650288,UNKNOWN_CAUSE,STOP_MOVED,The Broadway @ Windsor St (inbound) Bus stop will be permanently moved to the far side of Windsor St beginning June 26.,"Affected routes:
64
68",INFO,2025-06-26 07:00:00,
651168,MAINTENANCE,REDUCED_SERVICE,Orange Line: Service will be suspended between Wellington and Back Bay the weekend of July 26 - 27 for signal system upgrades. Use shuttles between Wellington & North Station. Use Green Line between North Station & Copley/Back Bay.,"Local Shuttle Service:
Accessible shuttles will be servicing all stations between Wellington and North Station. 

Express Shuttle Service:
Express shuttle buses will operate directly between Wellington and North Station.

Commuter Rail Alternatives From the South: 
Riders can use the Franklin/Foxboro, Needham, or Providence/Stoughton Lines for fare-free travel between Forest Hills, Ruggles, Back Bay and South Station. Regular fares will apply to travel beyond Forest Hills.

Commuter Rail Alternatives From the North:
Riders can use the Haverhill Line for fare-free travel between Oak Grove, Malden Center, and North Station. Regular fares will apply to travel beyond Oak Grove.

Shuttle Stop Locations:
Wellington:
Wellington Busway

Assembly:
Grand Union Blvd @ Foley St

Sullivan Square:
Upper Busway

Community College:
New Rutherford Ave @ Austin St

North Station:
100 Haverhill St (Haverhill St @ Causeway St)

Green Line Connections:
North Station (Transfer within",INFO,2025-07-26 07:00:00,2025-07-27 16:50:00
651201,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Wonderland Elevator 708 (Main lobby to pedestrian bridge) unavailable,"To access the pedestrian bridge from the main lobby, use Wonderland Elevators 701, 702 or 703. Exit the elevator at level 2, then turn left and proceed to the pedestrian bridge. To access the main lobby from the pedestrian bridge, proceed to the parking garage--level 2, and use Wonderland Elevators 701, 702 or 703.",WARNING,2025-06-20 20:26:00,
651348,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Porter Elevator 987 (Red Line platforms to lobby) unavailable,Please use nearby Porter Elevator 983 to access the Red Line platforms or lobby.,WARNING,2025-06-21 19:42:00,
651612,MAINTENANCE,ACCESSIBILITY_ISSUE,"Braintree Elevator 811 (Red Line platform to lobby) will be unavailable through Friday, August 22 for major equipment upgrades that will significantly improve the long-term reliability of the elevator.","A shuttle van is available to transport customers between Braintree and Quincy Adams. To exit, exit the train at Quincy Adams and find station personnel or use a station call box to request the shuttle bus to Braintree. To board, find station personnel or use a station call box at Braintree to request the shuttle van to Quincy Adams. Alternatively, customers may also use Bus Routes 230 and 236 for transportation between Braintree and Quincy Center.",WARNING,2025-06-30 07:00:00,2025-08-23 06:59:00
651836,MAINTENANCE,ACCESSIBILITY_ISSUE,Assembly Escalator 442 (Foley Street to unpaid lobby) unavailable due to maintenance,,WARNING,2025-06-24 13:45:00,
652201,UNKNOWN_CAUSE,UNKNOWN_EFFECT,Jackson Square: The stairway connecting the Jackson Sq lobby and the south end of the platform is closed until winter 2026. Use the stairway at the north end of the platform. This closure is for the construction of a new stairway and a second elevator.,,INFO,2025-06-30 07:00:00,
652202,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"Jackson Square: The platform is undergoing renovations until fall 2025 to improve safety and accessibility. Sections of the platform will be unlevel during this period, which may make it difficult for some riders to board and exit trains.",Please see station personnel or use a station call box to request assistance.,INFO,2025-06-30 07:00:00,
652723,MAINTENANCE,ACCESSIBILITY_ISSUE,"North Quincy Elevator 900 (Platform to main lobby, busway) unavailable from Tue Jul 22 through Wed Jul 23 due to maintenance","If exiting, use North Quincy Elevator 899 to the lobby and North Quincy Elevator 897 (lobby to Hancock Street). If boarding, travel across the parking lot to the north lobby.",WARNING,2025-07-22 07:00:00,2025-07-24 06:59:00
652726,MAINTENANCE,ACCESSIBILITY_ISSUE,Hynes Convention Center Escalator 315 (Kenmore & West platform to paid lobby) unavailable from Mon Aug 4 through Thu Aug 21 due to maintenance,,WARNING,2025-08-04 07:00:00,2025-08-22 06:59:00
652727,MAINTENANCE,ACCESSIBILITY_ISSUE,Park Street Escalator 373 (Alewife platform to Tremont Street) unavailable from Mon Sep 8 at 4:35 PM through Thu Sep 25 due to maintenance,,WARNING,2025-09-08 20:35:00,2025-09-26 06:59:00
652943,MAINTENANCE,ACCESSIBILITY_ISSUE,East Taunton Elevator 779 (Platform to pedestrian bridge) unavailable due to maintenance,,WARNING,2025-06-29 17:06:00,
652952,UNKNOWN_CAUSE,UNKNOWN_EFFECT, Elevator #779 from the pedestrian bridge to the platform is temporarily out of service at East Taunton until further notice. Please use Elevator #778 at the opposite end of the station/platform.,"Affected lines:
Fall River/New Bedford Line",INFO,2025-06-29 18:26:00,
653683,UNKNOWN_CAUSE,STOP_MOVED,Route 354 bus stop at Common St @ Woburn City Hall (inbound) has moved to Pleasant St @ Woburn District Court. This is a new MBTA bus stop located in front of Woburn District Court.,"Affected routes:
354",INFO,2025-07-03 18:42:00,
654124,CONSTRUCTION,DETOUR,"Shuttle buses are replacing Red Line service between Kendall/MIT and JFK/UMass through end of service on Sunday, July 20. Shuttles will also service Haymarket and State to access the Green Line, Orange Line or Blue Line. ","Commuter Rail Alternatives:
Riders are encouraged to consider fare-free Commuter Rail service between Braintree and South Station as well as between Porter and North Station.

Accessibility Options:
Accessible vans will be available to riders at all times. Please see station personnel or use a station call box for assistance.

Free Bluebike Unlocks:
You can get five free Bluebike unlocks during this work by using the code MBTAREDJUL17, compliments of Bluebikes and the City of Boston.

Additional Travel Time:
Riders using shuttle buses should budget ample extra travel time. For example, a rider traveling to Downtown Crossing from Ashmont or Braintree should budget an additional 30 – 45 minutes of travel time in addition to their regular commute.  

Shuttle Stop Locations:

Kendall/MIT:
325 Main St

Charles/MGH:
Northbound - 325 Cambridge St
Southbound - Cambridge St @ Lindall Place

Southbound Riders Heading to Park Street or Downtown Crossing:
Riders heading southbound",SEVERE,2025-07-18 00:30:00,2025-07-21 06:59:00
654244,CONSTRUCTION,NO_SERVICE,"The Washington Ave @ Broadway stop is closed from 7 AM - 5 PM, Monday through Thursday, until further notice for construction. Riders can board at Washington Ave @ Chestnut St.","Affected routes:
104
111
112
114
116",WARNING,2025-07-21 12:34:00,2025-07-21 21:00:00
654283,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"The Route 47 Green St @ Magazine St bus stop is temporarily closed for construction through Friday, July 25th, 2025. Please board at Green St @ Pearl St for inbound service to Broadway.",,WARNING,2025-07-08 15:39:00,2025-07-26 06:59:00
654490,UNKNOWN_CAUSE,MODIFIED_SERVICE,"The Fall River/New Bedford Line will have a new schedule going into effect on Monday, July 21st with time adjustments to improve performance and reliability. ","-Midday and evening trains will no longer stop at JFK/UMass, which will improve travel times for passengers.  
-JFK/UMass passengers may take the Red Line to connect with Commuter Rail service at South Station or Braintree.  
-Two late-night shuttle trains, one from Fall River and one from New Bedford, will no longer operate after July 21 to decrease the number of late-night train movements. 
 -Departure times will be adjusted throughout the day to improve resiliency. 
-The updated schedule for the July 21 adjustments is available at mbta.com/cr.

On Monday, September 1st (Labor Day), all lines will operate on a weekend schedule.
On Monday, October 13th (Columbus Day), all lines will operate on a regular weekday schedule. ",SEVERE,2025-07-21 07:00:00,2025-08-02 06:59:00
654491,UNKNOWN_CAUSE,MODIFIED_SERVICE,"The Kingston Line will have a new schedule going into effect on Monday, July 21st with time adjustments to improve performance and reliability.","Midday trains on the Kingston Lines will also see adjustments to departure times.  
The updated schedules for the July 21 adjustments are available at mbta.com/cr.

On Monday, September 1st (Labor Day), all lines will operate on a weekend schedule.  
On Monday, October 13th (Columbus Day), all lines will operate on a regular weekday schedule. 
",SEVERE,2025-07-21 07:00:00,2025-08-02 06:59:00
654492,UNKNOWN_CAUSE,MODIFIED_SERVICE,"The Greenbush Line will have a new schedule going into effect on Monday, July 21st with time adjustments to improve performance and reliability.","-A new morning peak train will be added arriving at South Station at 9:43 a.m. Midday trains on the Greenbush Line will also see adjustments to departure times.  
-The updated schedules for the July 21 adjustments are available at mbta.com/cr.

On Monday, September 1st (Labor Day), all lines will operate on a weekend schedule.  
On Monday, October 13th (Columbus Day), all lines will operate on a regular weekday schedule. ",SEVERE,2025-07-21 07:00:00,2025-08-02 06:59:00
654493,UNKNOWN_CAUSE,MODIFIED_SERVICE,"The Providence/Stoughton Line will have a new schedule going into effect on Monday, July 21st with minor time adjustments to accommodate an Amtrak schedule change. ","-Train 824 will also now stop at Hyde Park to accommodate passengers in the Fairmount area during ongoing construction on the Fairmount Line that includes replacing tracks to prepare for the introduction of battery-electric trains and making other station improvements.
-The updated schedules for the July 21 adjustments are available at mbta.com/cr.  

On Monday, September 1st (Labor Day), all lines will operate on a weekend schedule.   
On Monday, October 13th (Columbus Day), all lines will operate on a regular weekday schedule. ",SEVERE,2025-07-21 07:00:00,2025-08-02 06:59:00
654895,UNKNOWN_CAUSE,STOP_MOVED,"The Route 80, 88, & 90 inbound stop at McGrath Hwy @ Washington St has temporarily moved due to construction. Riders can board at 352 McGrath Hwy. ",,INFO,2025-07-11 15:24:00,
654937,CONSTRUCTION,DETOUR,Routes 71 and 73 detoured beginning Sat Jul 19 due to construction. The nearest connections are Mt Auburn St @ Mt Auburn Hospital or Mt Auburn St @ Traill St. ,"Affected stops:
Mt Auburn St @ Longfellow Rd (outbound)
Mt Auburn St @ Sparks St (outbound)
Mt Auburn St opp Sparks St (inbound)",SEVERE,2025-07-19 07:00:00,
655098,MAINTENANCE,NO_SERVICE,George's Island will remain closed until further notice due to maintenance work.,"Affected routes:
Hingham/Hull Ferry",SEVERE,2025-07-12 13:08:00,
655532,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"On July 26th-27th, Framingham/Worcester Line service will be replaced by local and express shuttle buses between Framingham & Boston, with service at Riverside for Green Line connections. There will be no service to Wellesley Farms or Lansdowne.","There are four different shuttle bus options:

1) Between Framingham and South Station, express after Wellesley Hills
2) Between Framingham and Back Bay, express after Wellesley Hills
3) Between Wellesley Hills and Back Bay with an additional stop at Riverside
4) Between Wellesley Hills and South Station, with an additional stop at South Station",WARNING,2025-07-26 07:00:00,2025-07-28 06:59:00
655976,MAINTENANCE,ACCESSIBILITY_ISSUE,North Station Elevator 731 (Passageway to Causeway Street) unavailable due to maintenance,"To exit, use North Station Elevator 912 located in the lobby to access the corner of Haverhill St and Causeway St. To board, cross Causeway St, and at the corner of Haverhill St and Causeway St, use North Station Elevator 912 to access the lobby.",WARNING,2025-07-17 11:10:00,
656012,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"To accommodate Providence Station Renovations, construction barriers have been installed and the Southern stairwell to Track 1 & 3 is out of service. The Northern access is open.","Affected lines:
Providence/Stoughton Line
Foxboro (Special Events)",INFO,2025-07-17 14:02:00,
656024,MAINTENANCE,REDUCED_SERVICE,"Orange Line: Trains will operate on the northbound (Oak Grove bound) track at Back Bay and Mass Ave from 9:00 PM to the end of service, on July 21-25. Riders may experience longer wait times during this work.","Affected stops:
Back Bay
Massachusetts Avenue",WARNING,2025-07-22 01:00:00,2025-07-22 06:59:00
656551,TECHNICAL_PROBLEM,OTHER_EFFECT,Route 15 is experiencing delays of up to 20 minutes due to disabled bus,,WARNING,2025-07-19 23:38:00,2025-07-20 06:45:23
656092,OTHER_CAUSE,DETOUR,"Route 110 detoured between 10 AM and 10 PM from Friday, Jul 25, to Sunday, Jul 27, due to the Revere Beach Sand Sculpture Event. The nearest connection points are Wonderland station and Bell Circle @ VFW Pkwy. ","Affected stops:
Beach St @ Walnut Ave (outbound)
Beach St @ N Shore Rd (outbound)
opp 1456 North Shore Rd (inbound)
Beach St opp Nahant Ave (inbound)
Beach St @ VFW Pkwy (inbound)",SEVERE,2025-07-25 14:00:00,2025-07-26 02:00:00
656095,CONSTRUCTION,OTHER_EFFECT,"Due to construction, the driveway between Shipyard Drive and the MBTA Parking lot (west of “Lot H”) will be subject to full closure between 8 AM and 3 PM on weekdays from Monday, July 21, to Friday, August 1.",,WARNING,2025-07-21 12:00:00,2025-07-21 19:00:00
656097,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"Hingham Ferry Dock: Due to construction activities associated with the dock replacement project, the driveway between Shipyard Drive and the MBTA Parking lot (west of “Lot H”) will be closed between 8 AM and 3 PM on weekdays from July 21 - August 1.",,INFO,2025-07-21 12:00:00,2025-07-21 19:00:00
656285,MAINTENANCE,ACCESSIBILITY_ISSUE,Maverick Escalator 433 (Unpaid lobby to Maverick Square) unavailable due to maintenance,,WARNING,2025-07-18 16:57:00,
656300,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Park Street Escalator 320 (Government Center & North platform to Park Street) unavailable through Sun Jul 20.,,WARNING,2025-07-18 17:42:00,2025-07-21 06:59:00
656302,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Downtown Crossing Escalator 331 (Ashmont/Braintree platform to Oak Grove platform) unavailable through Sun Jul 20,,WARNING,2025-07-18 17:43:00,2025-07-21 06:59:00
656303,UNKNOWN_CAUSE,ACCESSIBILITY_ISSUE,Downtown Crossing Escalator 332 (Alewife platform to Oak Grove platform) unavailable through Sun Jul 20,,WARNING,2025-07-18 17:43:00,2025-07-21 06:59:00
656324,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"Beginning on Monday, July 21, the Quincy Ferry Dock will be undergoing repairs. Passengers should allow extra time for boarding the ferry and should remain at the upper gate until the ferry crew indicates it is safe to board.","Affected ferries:
Quincy Ferry",WARNING,2025-07-21 07:00:00,2025-07-24 06:59:00
656406,OTHER_CAUSE,DETOUR,"Route 43 detoured on Wednesday, July 23, from 12 PM to 2 PM, due to the ADA 35th Anniversary March. Inbound connections are available at Charles St S @ Park Plaza and 285 Tremont St. Outbound connections are available at 285 Tremont St.","Affected stops:
Tremont St opp Temple Pl (outbound)
Tremont St @ Boylston Station (outbound)
Charles St @ Beacon St (inbound)
Beacon St opp Walnut St (inbound)
Beacon St @ Park St (inbound)
Tremont St opp Temple Pl (inbound)",SEVERE,2025-07-23 16:00:00,2025-07-23 18:00:00
656420,UNKNOWN_CAUSE,OTHER_EFFECT,Please board all Worcester Line trains on the outbound platform (Track 1) at Wellesley Farms through West Natick today.,"Affected stops:
Wellesley Farms
Wellesley Hills
Wellesley Square
Natick Center
West Natick",SEVERE,2025-07-19 10:32:00,2025-07-20 06:45:23
656449,UNKNOWN_CAUSE,OTHER_EFFECT,"The Hingham/Hull Ferry service is experiencing high ridership.  MBTA ferry service is provided on a first-come, first-served basis. Please arrive early and/or plan your travels accordingly.",,INFO,2025-07-19 15:06:00,2025-07-20 06:45:23
656480,MAINTENANCE,ACCESSIBILITY_ISSUE,Aquarium Escalator 394 (Wonderland platform to State Street lobby) unavailable due to maintenance,,WARNING,2025-07-19 17:20:00,
656482,MAINTENANCE,ACCESSIBILITY_ISSUE,Forest Hills Escalator 127 (Lower busway north to upper lobby) unavailable due to maintenance,,WARNING,2025-07-19 17:23:00,
656486,MAINTENANCE,ACCESSIBILITY_ISSUE,Harvard Escalator 516 (Alewife platform to Church Street lobby) unavailable due to maintenance,,WARNING,2025-07-19 17:41:00,
656492,OTHER_CAUSE,OTHER_EFFECT,Route 716 is experiencing delays of up to 20 minutes due to traffic,,WARNING,2025-07-19 18:24:00,2025-07-20 06:45:23
656501,OTHER_CAUSE,OTHER_EFFECT,Route 714 is experiencing delays of up to 15 minutes due to traffic,,WARNING,2025-07-19 19:09:00,2025-07-20 06:45:23
656511,UNKNOWN_CAUSE,OTHER_EFFECT,"Winthrop/Quincy Ferry service is experiencing high ridership. MBTA ferry service is provided on a first-come, first-served basis. Please arrive early and/or plan your travels accordingly.",,INFO,2025-07-19 19:56:00,2025-07-20 06:45:23
656547,OTHER_CAUSE,OTHER_EFFECT,Route 10 is experiencing delays of up to 20 minutes due to traffic,,WARNING,2025-07-19 23:20:00,2025-07-20 06:45:23
656551,TECHNICAL_PROBLEM,OTHER_EFFECT,Route 15 is experiencing delays of up to 20 minutes due to disabled bus,,WARNING,2025-07-19 23:38:00,2025-07-20 06:45:23
656555,OTHER_CAUSE,OTHER_EFFECT,Route 28 is experiencing delays of up to 20 minutes due to traffic,,WARNING,2025-07-20 00:46:00,2025-07-20 06:45:23
656559,UNKNOWN_CAUSE,OTHER_EFFECT,Silver Line - SL4 is experiencing delays of up to 20 minutes,,WARNING,2025-07-20 00:58:00,2025-07-20 06:45:23
656560,UNKNOWN_CAUSE,OTHER_EFFECT,Route 9 is experiencing delays of up to 25 minutes,,SEVERE,2025-07-20 01:14:00,2025-07-20 06:45:23
656561,TECHNICAL_PROBLEM,OTHER_EFFECT,Silver Line - SL4 is experiencing outbound delays of up to 20 minutes due to disabled bus,,WARNING,2025-07-20 01:24:00,2025-07-20 06:45:23
656563,MAINTENANCE,ACCESSIBILITY_ISSUE,Maverick Escalator 429 (Lewis Mall to unpaid lobby) unavailable due to maintenance,,WARNING,2025-07-20 01:36:00,
656568,UNKNOWN_CAUSE,OTHER_EFFECT,Rockport Line Train 5088 (10:30 pm from Rockport) is operating 15-25 minutes behind schedule between Gloucester and North Station.,Affected direction: Inbound,SEVERE,2025-07-20 02:34:00,2025-07-20 04:47:00
656571,UNKNOWN_CAUSE,OTHER_EFFECT,Route 83 is experiencing delays of up to 25 minutes,,SEVERE,2025-07-20 03:59:00,2025-07-20 06:45:23
390223,MAINTENANCE,ACCESSIBILITY_ISSUE,Courthouse Escalator 415 (Airport/Design Center platform to lobby) unavailable due to ongoing construction at the station. ,,INFO,2021-05-25 21:08:00,
390224,MAINTENANCE,ACCESSIBILITY_ISSUE,Courthouse Escalator 417 (Airport/Design Center platform to south lobby) unavailable due to ongoing construction at the station. ,,INFO,2021-05-25 21:08:00,
416078,UNKNOWN_CAUSE,OTHER_EFFECT,Lynn Parking Garage arcade stairs 1 and 2 are closed until further notice due to structural issues. Customers may exit the garage via elevators to the ground level or by using the south stairs located on the Market street side of the garage.,Vehicular access to the upper 2 levels of the garage is restricted. The garage has sufficient parking capacity to accommodate daily demand.,WARNING,2021-11-04 19:14:00,
428140,CONSTRUCTION,OTHER_EFFECT,"The Upper Parking Lot at Worcester Station is closed with the exception to accessible parking, due to construction.",,INFO,2022-01-24 20:41:00,
656095,CONSTRUCTION,OTHER_EFFECT,"Due to construction, the driveway between Shipyard Drive and the MBTA Parking lot (west of “Lot H”) will be subject to full closure between 8 AM and 3 PM on weekdays from Monday, July 21, to Friday, August 1.",,WARNING,2025-07-21 12:00:00,2025-07-21 19:00:00
656097,UNKNOWN_CAUSE,UNKNOWN_EFFECT,"Hingham Ferry Dock: Due to construction activities associated with the dock replacement project, the driveway between Shipyard Drive and the MBTA Parking lot (west of “Lot H”) will be closed between 8 AM and 3 PM on weekdays from July 21 - August 1.",,INFO,2025-07-21 12:00:00,2025-07-21 19:00:00
656285,MAINTENANCE,ACCESSIBILITY_ISSUE,Maverick Escalator 433 (Unpaid lobby to Maverick Square) unavailable due to maintenance,,WARNING,2025-07-18 16:57:00,
